C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456,BMT,01/02/2016,23:00:00,REGULAR,0005044805,0001101658                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/03/2016,03:00:00,REGULAR,0005044855,0001101662                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/03/2016,07:00:00,REGULAR,0005044861,0001101668                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/03/2016,11:00:00,REGULAR,0005044910,0001101699                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/03/2016,15:00:00,REGULAR,0005045107,0001101744                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/03/2016,19:00:00,REGULAR,0005045365,0001101781                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/03/2016,23:00:00,REGULAR,0005045524,0001101803                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/04/2016,03:00:00,REGULAR,0005045544,0001101807                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/04/2016,07:00:00,REGULAR,0005045556,0001101826                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/04/2016,11:00:00,REGULAR,0005045752,0001102002                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/04/2016,15:00:00,REGULAR,0005045931,0001102064                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/04/2016,19:00:00,REGULAR,0005046781,0001102127                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/04/2016,23:00:00,REGULAR,0005047052,0001102151                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/05/2016,03:00:00,REGULAR,0005047075,0001102154                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/05/2016,07:00:00,REGULAR,0005047088,0001102175                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/05/2016,11:00:00,REGULAR,0005047273,0001102370                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/05/2016,15:00:00,REGULAR,0005047506,0001102414                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/05/2016,19:00:00,REGULAR,0005048246,0001102492                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/05/2016,23:00:00,REGULAR,0005048498,0001102518                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/06/2016,03:00:00,REGULAR,0005048523,0001102527                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/06/2016,07:00:00,REGULAR,0005048541,0001102540                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/06/2016,11:00:00,REGULAR,0005048693,0001102689                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/06/2016,15:00:00,REGULAR,0005048867,0001102747                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/06/2016,19:00:00,REGULAR,0005049669,0001102818                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/06/2016,23:00:00,REGULAR,0005049982,0001102852                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/07/2016,03:00:00,REGULAR,0005050020,0001102857                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/07/2016,07:00:00,REGULAR,0005050034,0001102871                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/07/2016,11:00:00,REGULAR,0005050193,0001103039                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/07/2016,15:00:00,REGULAR,0005050379,0001103078                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/07/2016,19:00:00,REGULAR,0005051141,0001103150                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/07/2016,23:00:00,REGULAR,0005051423,0001103181                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/08/2016,03:00:00,REGULAR,0005051466,0001103184                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/08/2016,07:00:00,REGULAR,0005051485,0001103194                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/08/2016,11:00:00,REGULAR,0005051628,0001103349                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/08/2016,15:00:00,REGULAR,0005051827,0001103389                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/08/2016,19:00:00,REGULAR,0005052608,0001103440                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/08/2016,23:00:00,REGULAR,0005052955,0001103459                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/02/2016,03:00:00,REGULAR,0000624457,0002353909                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/02/2016,07:00:00,REGULAR,0000624459,0002353943                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/02/2016,11:00:00,REGULAR,0000624481,0002354172                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/02/2016,15:00:00,REGULAR,0000624573,0002354519                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/02/2016,19:00:00,REGULAR,0000624764,0002354995                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/02/2016,23:00:00,REGULAR,0000624887,0002355217                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/03/2016,03:00:00,REGULAR,0000624921,0002355311                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/03/2016,07:00:00,REGULAR,0000624922,0002355338                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/03/2016,11:00:00,REGULAR,0000624941,0002355502                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/03/2016,15:00:00,REGULAR,0000625016,0002355839                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/03/2016,19:00:00,REGULAR,0000625126,0002356226                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/03/2016,23:00:00,REGULAR,0000625211,0002356373                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/04/2016,03:00:00,REGULAR,0000625217,0002356390                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/04/2016,07:00:00,REGULAR,0000625224,0002356478                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/04/2016,11:00:00,REGULAR,0000625305,0002357385                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/04/2016,15:00:00,REGULAR,0000625380,0002357748                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/04/2016,19:00:00,REGULAR,0000625760,0002358417                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/04/2016,23:00:00,REGULAR,0000625889,0002358685                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/05/2016,03:00:00,REGULAR,0000625901,0002358708                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/05/2016,07:00:00,REGULAR,0000625905,0002358815                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/05/2016,11:00:00,REGULAR,0000625973,0002359762                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/05/2016,15:00:00,REGULAR,0000626056,0002360109                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/05/2016,19:00:00,REGULAR,0000626339,0002360765                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/05/2016,23:00:00,REGULAR,0000626446,0002361003                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/06/2016,03:00:00,REGULAR,0000626460,0002361034                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/06/2016,07:00:00,REGULAR,0000626466,0002361135                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/06/2016,11:00:00,REGULAR,0000626532,0002362062                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/06/2016,15:00:00,REGULAR,0000626601,0002362462                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/06/2016,19:00:00,REGULAR,0000626895,0002363184                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/06/2016,23:00:00,REGULAR,0000627029,0002363493                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/07/2016,03:00:00,REGULAR,0000627045,0002363522                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/07/2016,07:00:00,REGULAR,0000627054,0002363600                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/07/2016,11:00:00,REGULAR,0000627114,0002364546                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/07/2016,15:00:00,REGULAR,0000627191,0002364922                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/07/2016,19:00:00,REGULAR,0000627477,0002365636                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/07/2016,23:00:00,REGULAR,0000627612,0002365961                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/08/2016,03:00:00,REGULAR,0000627631,0002365986                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/08/2016,07:00:00,REGULAR,0000627635,0002366073                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/08/2016,11:00:00,REGULAR,0000627696,0002366991                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/08/2016,15:00:00,REGULAR,0000627766,0002367393                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/08/2016,19:00:00,REGULAR,0000628079,0002368214                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/08/2016,23:00:00,REGULAR,0000628204,0002368476                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/02/2016,03:00:00,REGULAR,0005007546,0007906131                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/02/2016,07:00:00,REGULAR,0005007554,0007906176                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/02/2016,11:00:00,REGULAR,0005007635,0007906439                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/02/2016,15:00:00,REGULAR,0005007872,0007906807                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/02/2016,19:00:00,REGULAR,0005008263,0007907256                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/02/2016,23:00:00,REGULAR,0005008537,0007907474                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/03/2016,03:00:00,REGULAR,0005008633,0007907577                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/03/2016,07:00:00,REGULAR,0005008642,0007907610                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/03/2016,11:00:00,REGULAR,0005008704,0007907775                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/03/2016,15:00:00,REGULAR,0005008884,0007908195                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/03/2016,19:00:00,REGULAR,0005009155,0007908647                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/03/2016,23:00:00,REGULAR,0005009358,0007908889                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/04/2016,03:00:00,REGULAR,0005009401,0007908916                                             
